STEP,POPULATION,HEALTHY,VACCINATED HEALTHY,UNVACCINATED HEALTHY,INFECTED,VACCINATED INFECTED,UNVACCINATED INFECTED,DEATHS FROM INFECTION,DEATHS VACCINATED,DEATHS UNVACCINATED
289,13329,8102,7495,607,5227,47,5180,1802,24,1778
290,13323,8078,7497,581,5245,45,5200,1808,24,1784
291,13317,8100,7498,602,5217,44,5173,1814,24,1790
292,13310,8096,7500,596,5214,42,5172,1821,24,1797
293,13309,8091,7500,591,5218,42,5176,1822,24,1798
294,13306,8113,7500,613,5193,42,5151,1825,24,1801
295,13301,8115,7501,614,5186,41,5145,1830,24,1806
296,13293,8121,7498,623,5172,44,5128,1838,24,1814
297,13290,8126,7496,630,5164,46,5118,1841,24,1817
298,13288,8114,7496,618,5174,46,5128,1843,24,1819
299,13283,8122,7494,628,5161,48,5113,1848,24,1824
300,13282,8116,7496,620,5166,46,5120,1849,24,1825
301,13275,8090,7495,595,5185,47,5138,1856,24,1832
302,13268,8100,7494,606,5168,48,5120,1863,24,1839
303,13262,8117,7495,622,5145,47,5098,1869,24,1845
304,13253,8104,7497,607,5149,45,5104,1878,24,1854
305,13250,8107,7498,609,5143,44,5099,1881,24,1857
306,13244,8112,7497,615,5132,45,5087,1887,24,1863
307,13239,8125,7500,625,5114,42,5072,1892,24,1868
308,13237,8121,7502,619,5116,40,5076,1894,24,1870
309,13231,8124,7503,621,5107,39,5068,1900,24,1876
310,13230,8105,7502,603,5125,40,5085,1901,24,1877
311,13227,8107,7502,605,5120,40,5080,1904,24,1880
312,13221,8114,7501,613,5107,41,5066,1910,24,1886
313,13213,8095,7501,594,5118,41,5077,1918,24,1894
314,13205,8087,7498,589,5118,44,5074,1926,24,1902
315,13201,8113,7499,614,5088,43,5045,1930,24,1906
316,13197,8098,7500,598,5099,42,5057,1934,24,1910
317,13188,8086,7501,585,5102,39,5063,1943,26,1917
318,13183,8088,7503,585,5095,37,5058,1948,26,1922
319,13180,8105,7505,600,5075,35,5040,1951,26,1925
320,13175,8100,7507,593,5075,33,5042,1956,26,1930
321,13173,8100,7508,592,5073,32,5041,1958,26,1932
322,13172,8102,7508,594,5070,32,5038,1959,26,1933
323,13169,8096,7505,591,5073,35,5038,1962,26,1936
324,13165,8082,7505,577,5083,35,5048,1966,26,1940
325,13162,8091,7506,585,5071,34,5037,1969,26,1943
326,13159,8113,7505,608,5046,35,5011,1972,26,1946
327,13154,8125,7505,620,5029,35,4994,1977,26,1951
328,13145,8160,7504,656,4985,36,4949,1986,26,1960
329,13144,8176,7505,671,4968,35,4933,1987,26,1961
330,13142,8173,7504,669,4969,36,4933,1989,26,1963
331,13136,8158,7504,654,4978,36,4942,1995,26,1969
332,13132,8155,7506,649,4977,34,4943,1999,26,1973
333,13129,8162,7506,656,4967,34,4933,2002,26,1976
334,13125,8149,7506,643,4976,34,4942,2006,26,1980
335,13118,8138,7505,633,4980,35,4945,2013,26,1987
336,13111,8138,7502,636,4973,38,4935,2020,26,1994
337,13106,8119,7504,615,4987,36,4951,2025,26,1999
338,13101,8123,7502,621,4978,38,4940,2030,26,2004
339,13097,8123,7504,619,4974,36,4938,2034,26,2008
340,13092,8111,7504,607,4981,36,4945,2039,26,2013
341,13088,8120,7504,616,4968,36,4932,2043,26,2017
342,13083,8135,7505,630,4948,35,4913,2048,26,2022
343,13079,8125,7505,620,4954,34,4920,2052,27,2025
344,13076,8138,7505,633,4938,34,4904,2055,27,2028
345,13069,8133,7504,629,4936,35,4901,2062,27,2035
346,13065,8140,7504,636,4925,35,4890,2066,27,2039
347,13061,8087,7505,582,4974,34,4940,2070,27,2043
348,13056,8115,7507,608,4941,32,4909,2075,27,2048
349,13046,8095,7507,588,4951,32,4919,2085,27,2058
350,13043,8121,7507,614,4922,32,4890,2088,27,2061
351,13040,8136,7504,632,4904,35,4869,2091,27,2064
352,13037,8149,7502,647,4888,37,4851,2094,27,2067
353,13029,8163,7501,662,4866,38,4828,2102,27,2075
354,13029,8159,7501,658,4870,38,4832,2102,27,2075
355,13028,8128,7500,628,4900,39,4861,2103,27,2076
356,13025,8125,7502,623,4900,37,4863,2106,27,2079
357,13021,8128,7502,626,4893,37,4856,2110,27,2083
358,13018,8131,7504,627,4887,35,4852,2113,27,2086
359,13013,8157,7507,650,4856,32,4824,2118,27,2091
360,13008,8140,7505,635,4868,34,4834,2123,27,2096
361,13006,8169,7505,664,4837,34,4803,2125,27,2098
362,12998,8167,7505,662,4831,34,4797,2133,27,2106
363,12992,8175,7507,668,4817,32,4785,2139,27,2112
364,12988,8168,7505,663,4820,33,4787,2143,28,2115
365,12986,8135,7506,629,4851,32,4819,2145,28,2117
366,12980,8135,7506,629,4845,32,4813,2151,28,2123
367,12977,8138,7508,630,4839,29,4810,2154,29,2125
368,12974,8135,7508,627,4839,29,4810,2157,29,2128
369,12972,8156,7509,647,4816,28,4788,2159,29,2130
370,12969,8153,7508,645,4816,29,4787,2162,29,2133
371,12964,8154,7508,646,4810,29,4781,2167,29,2138
372,12963,8148,7509,639,4815,28,4787,2168,29,2139
373,12955,8161,7509,652,4794,28,4766,2176,29,2147
374,12954,8158,7509,649,4796,28,4768,2177,29,2148
375,12950,8142,7508,634,4808,29,4779,2181,29,2152
376,12948,8128,7509,619,4820,28,4792,2183,29,2154
377,12946,8157,7510,647,4789,27,4762,2185,29,2156
378,12941,8166,7511,655,4775,26,4749,2190,29,2161
379,12939,8166,7512,654,4773,25,4748,2192,29,2163
380,12938,8147,7511,636,4791,25,4766,2193,30,2163
381,12933,8152,7510,642,4781,25,4756,2198,31,2167
382,12929,8132,7507,625,4797,28,4769,2202,31,2171
383,12926,8151,7506,645,4775,29,4746,2205,31,2174
384,12923,8152,7506,646,4771,29,4742,2208,31,2177
385,12921,8139,7507,632,4782,28,4754,2210,31,2179
386,12916,8135,7507,628,4781,28,4753,2215,31,2184
387,12913,8163,7505,658,4750,30,4720,2218,31,2187
388,12909,8154,7504,650,4755,31,4724,2222,31,2191
389,12904,8145,7505,640,4759,30,4729,2227,31,2196
390,12902,8120,7506,614,4782,29,4753,2229,31,2198
391,12899,8134,7508,626,4765,27,4738,2232,31,2201
392,12893,8167,7508,659,4726,27,4699,2238,31,2207
393,12892,8163,7505,658,4729,30,4699,2239,31,2208
394,12889,8162,7503,659,4727,32,4695,2242,31,2211
395,12885,8136,7501,635,4749,34,4715,2246,31,2215
396,12881,8135,7501,634,4746,34,4712,2250,31,2219
397,12880,8127,7501,626,4753,34,4719,2251,31,2220
398,12875,8124,7499,625,4751,36,4715,2256,31,2225
399,12872,8125,7497,628,4747,38,4709,2259,31,2228
400,12867,8128,7493,635,4739,42,4697,2264,31,2233
401,12863,8122,7495,627,4741,40,4701,2268,31,2237
402,12860,8124,7494,630,4736,41,4695,2271,31,2240
403,12857,8119,7495,624,4738,40,4698,2274,31,2243
404,12855,8154,7493,661,4701,42,4659,2276,31,2245
405,12850,8158,7490,668,4692,45,4647,2281,31,2250
406,12847,8155,7490,665,4692,45,4647,2284,31,2253
407,12844,8147,7490,657,4697,45,4652,2287,31,2256
408,12840,8164,7492,672,4676,43,4633,2291,31,2260
409,12838,8179,7491,688,4659,44,4615,2293,31,2262
410,12836,8179,7493,686,4657,42,4615,2295,31,2264
